Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2023-01-02,14.64159107208252,15.21013413814967,14.56493299134458,15.037655588757305,78424700
2023-01-03,14.271082878112793,14.756580916594274,14.136931511134387,14.654370931486502,96750300
2023-01-04,14.724637985229492,15.069597562496993,13.945286626185181,14.028331773431614,129504000
2023-01-05,15.254853248596191,15.357064445169561,14.788520071053481,14.909894877002628,73886000
2023-01-06,15.165417671203613,15.535929093995183,15.04404288247084,15.293180734968518,51851500
2023-01-09,15.24846363067627,15.331508767051373,14.852399118081017,15.012102334404469,46385200
2023-01-10,15.389001846313477,15.40177839589848,14.929057027202862,15.299568436096122,52741100
2023-01-11,15.51037883758545,15.727575337681744,15.36345093332807,15.427332471904451,53536500
2023-01-12,15.733963012695312,15.746739564600025,15.401781192246125,15.516767722510442,58130000
2023-01-13,15.695632934570312,15.753126193692022,15.491212999221535,15.61258779274947,40002700
2023-01-16,15.357064247131348,15.650917625868344,15.222912891035607,15.593424361604317,31973700
2023-01-17,16.302505493164062,16.366387026823393,15.401779402040368,15.401779402040368,91797500
2023-01-18,16.015039443969727,16.628300470592002,15.970322735261226,16.506925676641117,69692900
2023-01-19,16.538867950439453,16.577197607183358,15.83617463494839,15.9703247782348,75553300
2023-01-20,16.845495223999023,16.992421885620498,16.238622535125902,16.538864133018325,114219500
2023-01-23,17.113798141479492,17.63123624827738,16.692180507362465,16.781615141721307,87678100
2023-01-24,16.9924259185791,17.586522199155254,16.84549922208625,17.54819254216131,65794000
2023-01-25,17.209619522094727,17.299052936401054,16.615523342056655,16.9604816675517,51832900
2023-01-26,16.76883888244629,17.375711634138963,16.48137258565735,17.305441824159683,73344800
2023-01-27,16.36638641357422,16.756061439261057,16.25139990098376,16.724121282847644,47681900
2023-01-30,16.449430465698242,16.65385037750623,16.296115531842254,16.513311992747937,40683200
2023-01-31,16.653852462768555,16.74328588077299,16.302505847660612,16.372774439618837,54048900
2023-02-01,16.423879623413086,16.915765865288574,16.25778933608477,16.653852665004525,56349200
2023-02-02,15.663692474365234,16.48776047514497,15.599810941191567,16.296117094062865,83823000
2023-02-03,15.836170196533203,16.21306863470198,15.59980891994728,15.676466993510989,71170700
2023-02-06,16.468599319458008,16.526092586028316,15.810621501175076,15.887279596081848,82794500
2023-02-07,16.36638641357422,16.698568182965825,16.264175232485805,16.551641513961954,55311800
2023-02-08,16.641075134277344,16.704956666339985,16.32805696745316,16.481371913340176,48713100
2023-02-09,16.56441879272461,16.813555435339854,16.47498537608097,16.641075658865184,38198300
2023-02-10,17.069080352783203,17.113798279542834,16.564418792313703,16.596358950131663,54683100
2023-02-13,17.120187759399414,17.17768102635998,16.84549919534671,17.049919158566905,36726900
2023-02-14,17.056306838989258,17.286278680360102,16.992425298104394,17.152128541097028,35839000
2023-02-15,17.08185577392578,17.120184204461047,16.8007777736432,16.979645813539175,72554100
2023-02-16,17.152130126953125,17.21601167374437,16.922157045880322,16.992426869194603,44115700
2023-02-17,16.890214920043945,17.037141607692053,16.845498208015304,17.037141607692053,61085700
2023-02-22,16.455821990966797,16.679406770588763,16.41110527873021,16.609136955108966,38608500
2023-02-23,16.960481643676758,17.113797808613054,16.462208372169894,16.462208372169894,73913400
2023-02-24,16.545255661010742,17.056306767508875,16.52609205173293,17.037141939792015,64409100
2023-02-27,16.704957962036133,17.08185769015665,16.487761467239938,16.50692629387689,76250600
2023-02-28,16.123638153076172,17.196844066838025,16.123638153076172,16.743286254466284,130248100
2023-03-01,16.16196632385254,16.245012685445527,15.45288481403279,16.16835459923961,109257700
2023-03-02,15.740350723266602,16.398328501456678,15.567872152504474,16.23862526370133,124516200
2023-03-03,16.41749382019043,16.443045705408064,15.618977607504885,15.861726000048112,87591800
2023-03-06,16.58358383178711,16.685795026197162,16.20668530691833,16.417493534663457,50227400
2023-03-07,16.034204483032227,16.468597462155934,15.925606238251302,16.430267809805763,59052500
2023-03-08,16.238622665405273,16.558029089808652,16.053366354400683,16.066142903802135,66220400
2023-03-09,16.168354034423828,16.756061946675402,16.149190427371007,16.193907135079456,68042300
2023-03-10,15.957545280456543,16.340833248072624,15.931993399116196,16.072531792585252,48118600
2023-03-13,15.452885627746582,15.880890353706592,15.395392364674416,15.682857461596237,58605500
2023-03-14,15.178194999694824,15.797843088324385,15.075985030816524,15.510378007768768,58916700
2023-03-15,14.909895896911621,14.999329329287066,14.5649362832821,14.903507620536354,93708800
2023-03-16,14.858789443969727,15.02488095808511,14.673533102612142,14.948222867555312,66821000
2023-03-17,15.018491744995117,15.018491744995117,14.603263594841621,14.756578547893422,93502700
2023-03-20,14.647978782653809,15.107923594044035,14.622425683912724,15.01849018532786,57575200
2023-03-21,14.948222160339355,15.075985232364744,14.743802219849902,14.820460306752924,43391200
2023-03-22,14.903504371643066,15.088760690823356,14.71824927090164,14.941832803100107,46435600
2023-03-23,14.564933776855469,15.120701541472148,14.430783651377707,14.929058156949939,74711200
2023-03-24,14.558547019958496,14.775742291620228,14.360514137641495,14.507440816698148,52556800
2023-03-27,14.807682991027832,14.922669506223697,14.584098235751306,14.762966283660305,39148700
2023-03-28,15.069597244262695,15.101537403658591,14.788519211510696,14.833235922040542,29091100
2023-03-29,15.267630577087402,15.357065226333468,14.992940789964202,15.146255764964314,49148600
2023-03-30,15.312344551086426,15.510377424474843,15.12708944637594,15.491212599116285,56116900
2023-03-31,14.980162620544434,15.472047615321504,14.82684645612374,15.331509219447895,59547800
2023-04-03,15.64452838897705,15.650916664440519,15.203747129509491,15.38900346263316,73931200
2023-04-04,15.503990173339844,15.817008364236688,15.395391926013266,15.733962000636907,57505700
2023-04-05,15.555096626281738,15.670083159994496,14.865178642444295,15.452886644856866,93626400
2023-04-06,15.33150863647461,15.59981008635047,15.299568480857488,15.548705106299774,29565400
2023-04-10,15.657305717468262,15.753127417300993,15.35067579062791,15.35067579062791,41455900
2023-04-11,16.391937255859375,16.41749035412127,15.733959596881016,15.778677518839334,80565000
2023-04-12,16.51331329345703,16.70495667126255,16.085308612481743,16.596358432255723,71563400
2023-04-13,16.628299713134766,16.666628144790543,16.481371824649678,16.513313199728554,38852800
2023-04-14,16.800779342651367,16.864660878468538,16.430267897038522,16.481372882004468,38421100
