Price,Close,High,Low,Open,Volume,Media_Movel_20
Ticker,,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,
2023-01-02,14.641590118408203,15.210133147443523,14.564932042663358,15.03765460928548,78424700,
2023-01-03,14.27108097076416,14.756578944358202,14.136929621715257,14.654368972910927,96750300,
2023-01-04,14.724635124206545,15.069594634447794,13.945283916591567,14.028329047702181,129504000,
2023-01-05,15.25485134124756,15.357062525041233,14.788518222011534,14.909893012784917,73886000,
2023-01-06,15.165420532226562,15.535932024916749,15.044045720595904,15.293183620094533,51851500,
2023-01-09,15.248464584350586,15.331509725919526,14.85240004698454,15.012103273296203,46385200,
2023-01-10,15.389001846313477,15.40177839589848,14.929057027202862,15.299568436096122,52741100,
2023-01-11,15.510377883911133,15.727574370652839,15.363449988687792,15.42733152333634,53536500,
2023-01-12,15.73396110534668,15.746737655702557,15.401779325166212,15.516765841491294,58130000,
2023-01-13,15.695633888244627,15.753127150859658,15.491213940475197,15.612588741377923,40002700,
2023-01-16,15.357063293457031,15.65091665394572,15.222911945692095,15.593423393252028,31973700,
2023-01-17,16.302505493164062,16.366387026823393,15.401779402040368,15.401779402040368,91797500,
2023-01-18,16.01504135131836,16.628302450978392,15.970324637284216,16.50692764257209,69692900,
2023-01-19,16.53886604309082,16.57719569541435,15.836172808638022,15.970322936453538,75553300,
2023-01-20,16.84549903869629,16.99242573358961,16.238626212395594,16.538867878278346,114219500,
2023-01-23,17.113798141479492,17.63123624827738,16.692180507362465,16.781615141721307,87678100,
2023-01-24,16.9924259185791,17.586522199155254,16.84549922208625,17.54819254216131,65794000,
2023-01-25,17.20962142944336,17.299054853661627,16.615525183561385,16.96048354728829,51832900,
2023-01-26,16.768836975097656,17.37570965776242,16.48137071100618,17.305439855775884,73344800,
2023-01-27,16.36638832092285,16.75606339202265,16.25140179493179,16.724123231886917,47681900,15.857253170013427
2023-01-30,16.449432373046875,16.65385230855781,16.296117421413673,16.513313907503772,40683200,15.947645282745361
2023-01-31,16.653852462768555,16.74328588077299,16.302505847660612,16.372774439618837,54048900,16.06678385734558
2023-02-01,16.423879623413086,16.915765865288574,16.25778933608477,16.653852665004525,56349200,16.15174608230591
2023-02-02,15.663691520690918,16.487759471297778,15.599809991406635,16.29611610188376,83823000,16.172188091278077
2023-02-03,15.836173057556152,16.21307156381684,15.5998117382683,15.67646982568135,71170700,16.205725717544556
2023-02-06,16.468597412109375,16.52609067202097,15.810619670031656,15.887277756060096,82794500,16.266732358932494
2023-02-07,16.36638832092285,16.69857012902712,16.264177127922682,16.55164344290033,55311800,16.315601682662965
2023-02-08,16.641077041625977,16.704958581010523,16.328058838924616,16.481373802384116,48713100,16.372136640548707
2023-02-09,16.564420700073242,16.813557371375904,16.474987273131582,16.641077575040647,38198300,16.413659620285035
2023-02-10,17.069080352783203,17.113798279542834,16.564418792313703,16.596358950131663,54683100,16.482331943511962
2023-02-13,17.12018585205078,17.17767911260606,16.84549731860095,17.04991725904685,36726900,16.570488071441652
2023-02-14,17.056304931640625,17.2862767472945,16.992423397899415,17.15212662303298,35839000,16.608178043365477
2023-02-15,17.081857681274414,17.120186116089407,16.800779649606852,16.979647709475113,72554100,16.661518859863282
2023-02-16,17.152124404907227,17.21600593038723,16.92215140055472,16.992421200426598,44115700,16.6921817779541
2023-02-17,16.89021110534668,17.037137759811028,16.84549440341742,17.037137759811028,61085700,16.69441738128662
2023-02-22,16.455821990966797,16.679406770588763,16.41110527873021,16.609136955108966,38608500,16.661518573760986
2023-02-23,16.960481643676758,17.113797808613054,16.462208372169894,16.462208372169894,73913400,16.65992136001587
2023-02-24,16.545255661010742,17.056306767508875,16.52609205173293,17.037141939792015,64409100,16.62670307159424
2023-02-27,16.704957962036133,17.08185769015665,16.487761467239938,16.50692629387689,76250600,16.62350912094116
2023-02-28,16.123640060424805,17.19684610114174,16.123640060424805,16.743288235116296,130248100,16.61137170791626
2023-03-01,16.161968231201172,16.24501460259485,15.452886637699427,16.168356507342153,109257700,16.596998500823975
2023-03-02,15.740350723266602,16.398328501456678,15.567872152504474,16.23862526370133,124516200,16.551323413848877
2023-03-03,16.417491912841797,16.44304379509087,15.618975792926124,15.86172415726737,87591800,16.551004028320314
2023-03-06,16.58358383178711,16.685795026197162,16.20668530691833,16.417493534663457,50227400,16.59699864387512
2023-03-07,16.034202575683594,16.468595503134086,15.92560434382097,16.430265855343418,59052500,16.606900119781493
2023-03-08,16.238622665405273,16.558029089808652,16.053366354400683,16.066142903802135,66220400,16.59540138244629
2023-03-09,16.168354034423828,16.756061946675402,16.149190427371007,16.193907135079456,68042300,16.585499668121336
2023-03-10,15.957545280456545,16.340833248072624,15.931993399116196,16.072531792585252,48118600,16.551323080062865
